TRAIN_COST,TRAIN_TT,SM_COST,SM_TT,CAR_COST,CAR_TT,CHOICE,v_1,v_2,v_3,p_1,p_2,p_3
1.66,2.28,2.37,0.79,1.1,2.73,2.0,-6.031443865567098,-2.1299853706399,-5.748348228657596,0.019304353347593495,0.9550742894490207,0.025621357203385743
0.76,1.41,0.91,0.61,0.7,0.8,3.0,-1.6080795849304141,1.6826005521743757,1.196233232231761,0.022534272126534558,0.6052959385355345,0.372169789337931
0.72,1.61,0.84,1.52,1.04,1.0,2.0,-2.087114036401328,-2.2265045350672015,-0.8696356862408372,0.1905289773759905,0.1657389228794637,0.6437320997445458
0.94,2.21,1.09,1.23,1.82,3.12,2.0,-4.303899762128355,-1.9477546325386266,-7.803882355900655,0.0863527940190639,0.9110395321609847,0.0026076738199514097
1.33,2.79,1.74,1.5,2.0,2.8,2.0,-6.379305843437152,-4.179314861091361,-7.5493657191502725,0.09675596153793606,0.8732159846352981,0.03002805382676574
0.52,0.7,0.62,0.51,0.52,0.7,2.0,2.549825159400049,3.456993809990009,2.549825159400049,0.2233489682985185,0.553302063402963,0.2233489682985185
1.37,1.65,1.77,0.82,1.25,1.6,2.0,-3.9538661420490486,-1.4609072479042302,-3.5534550326618666,0.06854265567771806,0.8291616716724048,0.1022956726498771
1.08,1.25,1.14,0.95,0.76,1.5,2.0,-1.9970662776844115,-0.8892849596979967,-1.897549477024927,0.19484553250692607,0.5899208773088791,0.21523359018419477
2.84,2.64,3.3,1.23,1.48,2.4,1.0,-8.275018346051665,-5.097221006034659,-5.953728200487402,0.02842309582367689,0.6819793562227686,0.2895975479535544
0.36,1.05,0.42,0.62,0.52,1.3,2.0,1.6307766566211952,3.604299737080172,-0.24825378027706546,0.11977881114352988,0.8619263980387688,0.01829479081770144
1.53,2.02,1.62,1.66,0.8,1.56,3.0,-5.2228204878756195,-4.453541917726388,-2.2180064648687807,0.04284366980377947,0.09246558073224465,0.8646907494639758
1.75,2.04,2.45,0.94,0.88,1.7,2.0,-5.649586062439502,-3.004383643277411,-2.878325202558037,0.032190501396506935,0.4534449352708067,0.5143645633326863
0.48,1.88,0.56,0.97,1.0,2.6,2.0,-1.7813026972072028,0.9082530895159231,-5.252189404464392,0.06346698770998747,0.9345598584732097,0.0019731538168027635
0.68,1.14,0.9,0.49,0.64,0.96,2.0,-0.33017282018922867,2.63816371041186,0.6119707377318857,0.04343105865434837,0.8451476560321516,0.11142128531350022
0.34,1.77,0.38,0.96,0.91,1.1,2.0,-0.6667504981229868,1.9105629846207224,-0.9414587765292782,0.0670172780960488,0.88206341359245,0.050919308311501335
0.37,1.43,0.44,0.7,0.2,0.72,2.0,0.1387290758123778,2.9642761748425004,4.604173106596999,0.00953927169847353,0.16092915542011457,0.8295315728814119
0.43,2.2,0.5,1.5,1.23,1.82,2.0,-2.259910797367612,-0.8175412749307058,-4.117162756899439,0.185638634294184,0.785382986767528,0.028978378938287877
2.09,0.42,2.26,0.21,0.67,0.4,3.0,0.9179277055480912,3.279930050402169,4.249830195202949,0.025250150630366296,0.2679591292591371,0.7067907201104967
1.22,1.72,1.42,1.07,0.64,1.43,3.0,-3.827077715238359,-2.0411497486228796,-1.2230233986699557,0.04881966760893709,0.29121482441788493,0.659965507973178
2.13,3.24,2.45,1.95,1.65,2.08,2.0,-8.435858791359127,-6.397479043262589,-5.575471747811257,0.0382461169431204,0.2936597503462584,0.6680941327106212
1.12,2.71,1.33,1.16,1.56,1.84,2.0,-5.762474992963768,-2.2285819376323817,-4.83389267248154,0.02646343340077241,0.9065597707426517,0.06697679585657583
0.64,1.13,0.84,0.66,0.71,0.72,2.0,-0.1317555685698657,1.557810439663064,1.6244177875661496,0.08191774705594074,0.44375902001944023,0.47432323292461903
1.34,2.72,1.46,1.35,1.28,1.68,2.0,-6.2776137655138395,-3.191875245946753,-3.849317319027309,0.029219969596458895,0.6394387799923891,0.33134125041115214
2.52,2.0,3.37,0.81,1.36,1.9,2.0,-6.599209676965904,-3.2609103845200975,-4.601045209960462,0.027362266039607168,0.7708271852968662,0.20181054866352657
0.41,1.61,0.53,1.21,0.84,0.96,3.0,-0.6624331927815459,0.03597069272437481,-0.10571832946561655,0.2102840760790035,0.4227847758075087,0.3669311481134878
0.38,0.89,0.44,0.34,0.45,0.56,2.0,2.252159204508109,5.953461178620602,3.8710882220751905,0.021483347161657628,0.8700755600471335,0.10844109279120881
2.23,0.54,3.57,0.33,0.28,0.72,3.0,-0.3061692895907302,0.31927536527320743,3.895006772404308,0.014360825237482857,0.026841486239601205,0.9587976885229159
0.41,2.0,0.49,1.2,0.48,0.88,3.0,-1.68965306385559,0.27107690390966055,1.7351950629126136,0.025758265047886735,0.18299988347777227,0.791241851474341
0.38,1.35,0.52,0.61,0.65,1.04,2.0,0.3440897430781855,3.1465589475628795,0.20790490532332173,0.05447221382438931,0.8979909030864845,0.04753688308912622
0.6,0.99,0.84,0.44,0.5,0.8,2.0,0.6391363506109353,3.266556908273347,2.0592794495871036,0.0526988617252691,0.7292483993619102,0.21805273891282065
0.4,0.61,0.62,0.32,0.24,0.65,2.0,3.7918930864137157,5.323015039439723,4.674839346374695,0.1243568508455308,0.5749466276477441,0.3006965215067251
0.56,1.18,0.78,0.7,0.48,1.0,2.0,0.012245942227368412,1.4992178711007038,1.1576306273033916,0.11672247347541136,0.516342871463708,0.36693465506088047
1.63,2.01,1.81,1.45,1.24,2.47,3.0,-5.3778039629689385,-4.132584380831393,-5.597538336424103,0.1895221010554346,0.6583424443697594,0.1521354545748059
0.64,1.28,0.76,0.57,0.52,0.8,2.0,-0.707102217493802,2.4548565021893776,1.960909981118131,0.025622562104313767,0.6051231646365176,0.3692542732591687
0.83,1.58,1.0,0.68,0.8,1.82,3.0,-2.3762568885713318,0.9563762570795233,-2.945544383224972,0.033808988741182704,0.9470575402240984,0.01913347103471902
2.52,2.0,3.37,0.81,1.75,2.1,2.0,-6.599209676965904,-3.2609103845200975,-5.787843719092052,0.031824678464222496,0.896538586681566,0.07163673485421143
2.21,2.43,2.37,1.67,1.25,2.6,2.0,-7.152839087298251,-5.567552184848347,-5.866572642402431,0.1052638216665179,0.513760235454402,0.38097594287908015
0.4,2.36,0.46,1.42,0.84,1.8,2.0,-2.421365208041521,-0.354096188532099,-3.0236432197077114,0.10581145093607705,0.8362501284016174,0.05793842066230549
0.23,1.31,0.35,0.55,0.66,0.91,2.0,1.6080393516144482,4.549437669115586,0.7735588828394404,0.049076346055306266,0.9296196145102346,0.021304039434459184
1.01,1.48,1.09,1.05,1.3,1.82,1.0,-2.600204281167106,-1.2206696332461084,-4.27104264006209,0.19375558148093378,0.769801064274951,0.0364433542441153
0.52,1.46,0.58,1.2,0.24,0.32,3.0,-0.7893217034782292,-0.154833879901501,7.573931822639405,0.00023312714406869704,0.00043969082567750484,0.9993271820302537
