TRAIN_COST,TRAIN_TT,SM_COST,SM_TT,CAR_COST,CAR_TT,CHOICE,v_1,v_2,v_3,p_1,p_2,p_3
0.5,0.97,0.6,0.53,0.27,0.91,2.0,-3.91,-2.79,-3.27,0.16774765822494234,0.5141221154032725,0.3181302263717851
2.25,3.0,2.45,1.57,1.12,2.4,3.0,-13.5,-9.61,-9.44,0.009269112187963911,0.4533604944012432,0.537370393410793
0.83,1.14,0.91,0.75,0.75,1.43,2.0,-5.08,-4.07,-5.79,0.2360023906700491,0.6479684033701054,0.11602920595984544
0.89,1.65,1.09,1.14,1.04,1.5,3.0,-6.7299999999999995,-5.6,-6.58,0.1902048047082907,0.5888087400501714,0.22098645524153782
0.72,0.85,0.94,0.41,0.5,0.64,2.0,-3.9899999999999998,-3.11,-2.92,0.15807079760078607,0.3810928395288693,0.4608363628703447
0.48,1.46,0.62,0.55,0.6,1.43,2.0,-5.34,-2.89,-5.49,0.07435466823728203,0.8616476757264504,0.0639976560362675
0.96,1.46,1.23,0.55,0.64,1.56,2.0,-6.3,-4.11,-5.96,0.08818217183958917,0.7879264983037154,0.12389132985669556
1.1,2.11,1.27,1.72,1.17,1.5,2.0,-8.530000000000001,-7.7,-6.84,0.11477367363580109,0.26321261663794804,0.6220137097262509
0.6,0.92,0.84,0.44,0.4,0.64,1.0,-3.96,-3.0,-2.7199999999999998,0.14149655367409905,0.3695460502321694,0.48895739609373146
1.01,2.54,1.18,1.15,1.76,3.64,2.0,-9.64,-5.81,-14.44,0.02124460770213158,0.9785805545503242,0.00017483774754420574
0.54,1.16,0.68,0.51,0.4,0.48,3.0,-4.56,-2.89,-2.24,0.06065075064023159,0.32218696442590317,0.6171622849338652
2.37,2.84,2.66,1.65,2.01,1.92,1.0,-13.26,-10.27,-9.78,0.01874575716706771,0.37277217508828236,0.60848206774465
0.0,0.63,0.0,0.44,0.45,0.5,1.0,-1.8900000000000001,-1.32,-2.4,0.29684489818951,0.5249010528547121,0.17825404895577798
